Box size
-0.1875,0.7853975000000002
Morse_node,Morse_tile,Morse_set,Box_center
3,511, ,-1.59375,0.3926987500000001
3,160, ,-1.78125,0.3926987500000001
3,162, ,-1.59375,1.1780962500000003
3,163, ,-1.78125,1.1780962500000003
3,168,4,-1.96875,0.3926987500000001
3,169,4,-2.15625,0.3926987500000001
3,170, ,-1.96875,1.1780962500000003
3,171, ,-2.15625,1.1780962500000003
3,172, ,-1.59375,1.9634937500000003
3,174, ,-1.78125,1.9634937500000003
3,175, ,-1.59375,2.74889125
3,186, ,-1.78125,2.74889125
3,454, ,-1.96875,1.9634937500000003
3,460, ,-2.15625,1.9634937500000003
3,462, ,-1.96875,2.74889125
3,464, ,-2.15625,2.74889125
3,465, ,-2.34375,0.3926987500000001
3,466,3,-2.53125,0.3926987500000001
3,467, ,-2.34375,1.1780962500000003
3,468, ,-2.53125,1.1780962500000003
3,469,3,-2.71875,0.3926987500000001
3,470, ,-2.90625,0.3926987500000001
3,471, ,-2.71875,1.1780962500000003
3,472, ,-2.90625,1.1780962500000003
3,473, ,-2.34375,1.9634937500000003
3,475, ,-2.53125,1.9634937500000003
3,476, ,-2.34375,2.74889125
3,477, ,-2.53125,2.74889125
3,478, ,-2.71875,1.9634937500000003
3,479, ,-2.90625,1.9634937500000003
3,359, ,-2.71875,2.74889125
3,487, ,-2.90625,2.74889125
3,364, ,-1.59375,3.5342887499999995
3,365, ,-1.78125,3.5342887499999995
3,366, ,-1.59375,4.319686249999999
3,508, ,-1.78125,4.319686249999999
3,497, ,-1.96875,3.5342887499999995
3,506, ,-2.15625,3.5342887499999995
3,499, ,-1.96875,4.319686249999999
3,500, ,-2.15625,4.319686249999999
3,501, ,-1.59375,5.1050837499999995
3,502, ,-1.78125,5.1050837499999995
3,503, ,-1.59375,5.89048125
3,376, ,-1.78125,5.89048125
3,377, ,-1.96875,5.1050837499999995
3,378, ,-2.15625,5.1050837499999995
3,379, ,-1.96875,5.89048125
3,380, ,-2.15625,5.89048125
3,381, ,-2.34375,3.5342887499999995
3,382, ,-2.53125,3.5342887499999995
3,383, ,-2.34375,4.319686249999999
4,452, ,-2.53125,4.319686249999999
4,485, ,-2.71875,3.5342887499999995
4,453, ,-2.90625,3.5342887499999995
4,455, ,-2.71875,4.319686249999999
4,461, ,-2.90625,4.319686249999999
4,367, ,-2.34375,5.1050837499999995
4,496, ,-2.53125,5.1050837499999995
4,463, ,-2.34375,5.89048125
4,498, ,-2.53125,5.89048125
4,504, ,-2.71875,5.1050837499999995
4,505, ,-2.90625,5.1050837499999995
4,474, ,-2.71875,5.89048125
4,507, ,-2.90625,5.89048125
